mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
110,0_110,0.560156,3.090490,0.486719,0.601562,0.629687,0.486719,0.530469,0.494531,0.601562,0.530469,0.617969,0.629687,0.494531,0.617969
110,0_codon,0.551042,3.172796,0.477344,0.588281,0.625781,0.477344,0.502344,0.503906,0.588281,0.502344,0.608594,0.625781,0.503906,0.608594
110,1,0.387370,3.864878,0.368750,0.407813,0.410156,0.368750,0.359375,0.399219,0.407813,0.359375,0.378906,0.410156,0.399219,0.378906
110,10,0.387760,3.829998,0.378906,0.403906,0.364062,0.378906,0.327344,0.417188,0.403906,0.327344,0.435156,0.364062,0.417188,0.435156
110,10_001,0.436328,3.828180,0.464844,0.460938,0.388281,0.464844,0.413281,0.549219,0.460938,0.413281,0.341406,0.388281,0.549219,0.341406
110,10_010,0.522526,3.263094,0.610156,0.418750,0.600781,0.610156,0.422656,0.659375,0.418750,0.422656,0.423438,0.600781,0.659375,0.423438
110,10_011,0.469401,3.550215,0.477344,0.399219,0.677344,0.477344,0.403125,0.471094,0.399219,0.403125,0.388281,0.677344,0.471094,0.388281
110,10_100,0.537500,3.233008,0.471875,0.578906,0.646094,0.471875,0.475000,0.478906,0.578906,0.475000,0.574219,0.646094,0.478906,0.574219
110,10_101,0.459245,3.649166,0.396094,0.418750,0.443750,0.396094,0.442187,0.438281,0.418750,0.442187,0.616406,0.443750,0.438281,0.616406
110,10_110,0.559896,3.094800,0.607812,0.504687,0.618750,0.607812,0.494531,0.635156,0.504687,0.494531,0.498437,0.618750,0.635156,0.498437
110,10_codon,0.560156,3.083267,0.553125,0.588281,0.599219,0.553125,0.499219,0.590625,0.588281,0.499219,0.530469,0.599219,0.590625,0.530469
110,11,0.407161,3.780333,0.417188,0.378906,0.428125,0.417188,0.382031,0.421094,0.378906,0.382031,0.415625,0.428125,0.421094,0.415625
