mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
13,110_gc,0.513672,3.308105,0.435156,0.416406,0.429688,0.435156,0.746094,0.535937,0.416406,0.746094,0.518750,0.429688,0.535937,0.518750
14,,0.393880,3.823416,0.403125,0.419531,0.382812,0.403125,0.400781,0.384375,0.419531,0.400781,0.372656,0.382812,0.384375,0.372656
14,110_cov,0.533464,3.143153,0.567969,0.470313,0.585938,0.567969,0.445312,0.678125,0.470313,0.445312,0.453125,0.585938,0.678125,0.453125
14,110_ct,0.541927,3.195514,0.573438,0.490625,0.567969,0.573438,0.487500,0.653125,0.490625,0.487500,0.478906,0.567969,0.653125,0.478906
14,110_ga,0.529557,3.183422,0.503125,0.692187,0.511719,0.503125,0.521094,0.427344,0.692187,0.521094,0.521875,0.511719,0.427344,0.521875
14,110_gc,0.552604,3.108857,0.514844,0.500781,0.502344,0.514844,0.685156,0.563281,0.500781,0.685156,0.549219,0.502344,0.563281,0.549219
15,,0.402865,3.786088,0.417188,0.332812,0.466406,0.417188,0.371094,0.457031,0.332812,0.371094,0.372656,0.466406,0.457031,0.372656
15,110_cov,0.549740,3.146387,0.518750,0.458594,0.511719,0.518750,0.555469,0.697656,0.458594,0.555469,0.556250,0.511719,0.697656,0.556250
15,110_ct,0.541667,3.155013,0.511719,0.442969,0.512500,0.511719,0.537500,0.697656,0.442969,0.537500,0.547656,0.512500,0.697656,0.547656
15,110_ga,0.510807,3.323449,0.496094,0.613281,0.479688,0.496094,0.511719,0.441406,0.613281,0.511719,0.522656,0.479688,0.441406,0.522656
15,110_gc,0.523438,3.253971,0.452344,0.462500,0.421094,0.452344,0.730469,0.530469,0.462500,0.730469,0.543750,0.421094,0.530469,0.543750
16,,0.396354,3.795654,0.394531,0.375000,0.440625,0.394531,0.363281,0.398438,0.375000,0.363281,0.406250,0.440625,0.398438,0.406250
16,110_cov,0.545052,3.119633,0.519531,0.538281,0.608594,0.519531,0.475000,0.584375,0.538281,0.475000,0.544531,0.608594,0.584375,0.544531
16,110_ct,0.560417,3.100253,0.618750,0.511719,0.604688,0.618750,0.498437,0.639844,0.511719,0.498437,0.489062,0.604688,0.639844,0.489062
16,110_ga,0.519401,3.328172,0.466406,0.725781,0.519531,0.466406,0.450000,0.459375,0.725781,0.450000,0.495313,0.519531,0.459375,0.495313
16,110_gc,0.551042,3.176039,0.597656,0.586719,0.453906,0.597656,0.685156,0.493750,0.586719,0.685156,0.489062,0.453906,0.493750,0.489062
17,,0.389844,3.839353,0.385938,0.369531,0.423438,0.385938,0.386719,0.348437,0.369531,0.386719,0.425000,0.423438,0.348437,0.425000
17,110_cov,0.557161,3.105591,0.592969,0.478906,0.603906,0.592969,0.505469,0.657813,0.478906,0.505469,0.503906,0.603906,0.657813,0.503906
17,110_ct,0.516536,3.305654,0.476562,0.444531,0.467187,0.476562,0.480469,0.759375,0.444531,0.480469,0.471094,0.467187,0.759375,0.471094
17,110_ga,0.554557,3.113849,0.487500,0.653125,0.564844,0.487500,0.501563,0.538281,0.653125,0.501563,0.582031,0.564844,0.538281,0.582031
17,110_gc,0.541797,3.157873,0.490625,0.491406,0.437500,0.490625,0.701562,0.570312,0.491406,0.701562,0.559375,0.437500,0.570312,0.559375
18,,0.428776,3.651784,0.443750,0.403906,0.465625,0.443750,0.388281,0.450781,0.403906,0.388281,0.420312,0.465625,0.450781,0.420312
18,110_cov,0.551562,3.176966,0.484375,0.478906,0.498437,0.484375,0.589844,0.675781,0.478906,0.589844,0.582031,0.498437,0.675781,0.582031
18,110_ct,0.521224,3.297877,0.499219,0.416406,0.504687,0.499219,0.493750,0.732031,0.416406,0.493750,0.481250,0.504687,0.732031,0.481250
18,110_ga,0.502474,3.332402,0.471875,0.612500,0.539062,0.471875,0.494531,0.396875,0.612500,0.494531,0.500000,0.539062,0.396875,0.500000
18,110_gc,0.560156,3.104222,0.501563,0.484375,0.502344,0.501563,0.673438,0.601562,0.484375,0.673438,0.597656,0.502344,0.601562,0.597656
19,,0.407943,3.750019,0.342187,0.398438,0.377344,0.342187,0.432031,0.390625,0.398438,0.432031,0.507031,0.377344,0.390625,0.507031
19,110_cov,0.543359,3.165918,0.507031,0.564844,0.528906,0.507031,0.525781,0.498437,0.564844,0.525781,0.635156,0.528906,0.498437,0.635156
19,110_ct,0.537500,3.227006,0.461719,0.477344,0.487500,0.461719,0.608594,0.578906,0.477344,0.608594,0.610938,0.487500,0.578906,0.610938
19,110_ga,0.557943,3.141005,0.587500,0.682031,0.491406,0.587500,0.597656,0.489844,0.682031,0.597656,0.499219,0.491406,0.489844,0.499219
19,110_gc,0.521484,3.272469,0.527344,0.510156,0.421875,0.527344,0.696875,0.484375,0.510156,0.696875,0.488281,0.421875,0.484375,0.488281
1,110_cov,0.526432,3.207010,0.530469,0.489844,0.541406,0.530469,0.482812,0.620313,0.489844,0.482812,0.493750,0.541406,0.620313,0.493750
1,110_ct,0.540625,3.227789,0.484375,0.431250,0.484375,0.484375,0.568750,0.715625,0.431250,0.568750,0.559375,0.484375,0.715625,0.559375
1,110_ga,0.495573,3.414593,0.464844,0.739062,0.453906,0.464844,0.470313,0.403125,0.739062,0.470313,0.442187,0.453906,0.403125,0.442187
1,110_gc,0.557161,3.085307,0.565625,0.546875,0.552344,0.565625,0.621094,0.539062,0.546875,0.621094,0.517969,0.552344,0.539062,0.517969
2,,0.385547,3.869894,0.400781,0.403906,0.378906,0.400781,0.387500,0.380469,0.403906,0.387500,0.361719,0.378906,0.380469,0.361719
20,,0.416016,3.746221,0.417188,0.428906,0.469531,0.417188,0.371875,0.388281,0.428906,0.371875,0.420312,0.469531,0.388281,0.420312
20,110_cov,0.518490,3.256806,0.431250,0.450000,0.443750,0.431250,0.531250,0.706250,0.450000,0.531250,0.548438,0.443750,0.706250,0.548438
20,110_ct,0.541146,3.162992,0.485938,0.499219,0.466406,0.485938,0.581250,0.649219,0.499219,0.581250,0.564844,0.466406,0.649219,0.564844
20,110_ga,0.545182,3.130251,0.528125,0.692969,0.510156,0.528125,0.532813,0.492969,0.692969,0.532813,0.514062,0.510156,0.492969,0.514062
20,110_gc,0.546875,3.163270,0.567969,0.586719,0.481250,0.567969,0.665625,0.483594,0.586719,0.665625,0.496094,0.481250,0.483594,0.496094
21,,0.406901,3.765612,0.479688,0.432813,0.375781,0.479688,0.422656,0.385156,0.432813,0.422656,0.345313,0.375781,0.385156,0.345313
21,110_cov,0.559115,3.062838,0.546094,0.585938,0.538281,0.546094,0.540625,0.607031,0.585938,0.540625,0.536719,0.538281,0.607031,0.536719
21,110_ct,0.517318,3.313450,0.528125,0.402344,0.534375,0.528125,0.451562,0.729688,0.402344,0.451562,0.457812,0.534375,0.729688,0.457812
21,110_ga,0.550391,3.167442,0.557813,0.685156,0.495313,0.557813,0.559375,0.505469,0.685156,0.559375,0.499219,0.495313,0.505469,0.499219
21,110_gc,0.529297,3.224972,0.525781,0.528125,0.457031,0.525781,0.725000,0.467187,0.528125,0.725000,0.472656,0.457031,0.467187,0.472656
22,,0.402344,3.819610,0.456250,0.368750,0.418750,0.456250,0.400000,0.427344,0.368750,0.400000,0.342969,0.418750,0.427344,0.342969
22,110_cov,0.557422,3.098587,0.491406,0.498437,0.487500,0.491406,0.603125,0.661719,0.498437,0.603125,0.602344,0.487500,0.661719,0.602344
22,110_ct,0.516797,3.340897,0.461719,0.435937,0.462500,0.461719,0.518750,0.702344,0.435937,0.518750,0.519531,0.462500,0.702344,0.519531
22,110_ga,0.518490,3.291213,0.511719,0.700781,0.469531,0.511719,0.536719,0.439063,0.700781,0.536719,0.453125,0.469531,0.439063,0.453125
22,110_gc,0.534896,3.167717,0.551562,0.548438,0.429688,0.551562,0.689844,0.500000,0.548438,0.689844,0.489844,0.429688,0.500000,0.489844
23,,0.382943,3.873207,0.383594,0.389844,0.378906,0.383594,0.364844,0.439844,0.389844,0.364844,0.340625,0.378906,0.439844,0.340625
23,110_cov,0.538151,3.198915,0.527344,0.578125,0.584375,0.527344,0.484375,0.525000,0.578125,0.484375,0.529687,0.584375,0.525000,0.529687
23,110_ct,0.560807,3.094637,0.496875,0.502344,0.496875,0.496875,0.602344,0.670312,0.502344,0.602344,0.596094,0.496875,0.670312,0.596094
23,110_ga,0.514193,3.380519,0.498437,0.646094,0.500000,0.498437,0.491406,0.457812,0.646094,0.491406,0.491406,0.500000,0.457812,0.491406
23,110_gc,0.518880,3.294764,0.462500,0.449219,0.440625,0.462500,0.733594,0.523438,0.449219,0.733594,0.503906,0.440625,0.523438,0.503906
24,,0.409115,3.767374,0.387500,0.440625,0.382812,0.387500,0.425781,0.439063,0.440625,0.425781,0.378906,0.382812,0.439063,0.378906
24,110_cov,0.559375,3.086719,0.535937,0.479688,0.531250,0.535937,0.569531,0.660937,0.479688,0.569531,0.578906,0.531250,0.660937,0.578906
24,110_ct,0.514583,3.319133,0.502344,0.419531,0.500000,0.502344,0.467187,0.732812,0.419531,0.467187,0.465625,0.500000,0.732812,0.465625
24,110_ga,0.543490,3.133519,0.535156,0.682031,0.519531,0.535156,0.510938,0.502344,0.682031,0.510938,0.510938,0.519531,0.502344,0.510938
24,110_gc,0.531510,3.218502,0.535937,0.532813,0.429688,0.535937,0.692187,0.498437,0.532813,0.692187,0.500000,0.429688,0.498437,0.500000
25,,0.399740,3.807775,0.446875,0.459375,0.369531,0.446875,0.391406,0.367969,0.459375,0.391406,0.363281,0.369531,0.367969,0.363281
25,110_cov,0.527995,3.229564,0.515625,0.508594,0.514844,0.515625,0.489844,0.650781,0.508594,0.489844,0.488281,0.514844,0.650781,0.488281
25,110_ct,0.493620,3.482416,0.453125,0.437500,0.486719,0.453125,0.428125,0.714063,0.437500,0.428125,0.442187,0.486719,0.714063,0.442187
25,110_ga,0.538411,3.162164,0.525781,0.660937,0.513281,0.525781,0.525000,0.460938,0.660937,0.525000,0.544531,0.513281,0.460938,0.544531
25,110_gc,0.527214,3.314243,0.525781,0.521875,0.449219,0.525781,0.683594,0.487500,0.521875,0.683594,0.495313,0.449219,0.487500,0.495313
26,,0.381901,3.894855,0.380469,0.449219,0.395312,0.380469,0.328125,0.358594,0.449219,0.328125,0.379687,0.395312,0.358594,0.379687
26,110_cov,0.552995,3.129702,0.525000,0.482812,0.530469,0.525000,0.557031,0.660156,0.482812,0.557031,0.562500,0.530469,0.660156,0.562500
26,110_ct,0.543229,3.180701,0.570312,0.469531,0.571094,0.570312,0.489844,0.666406,0.469531,0.489844,0.492188,0.571094,0.666406,0.492188
26,110_ga,0.562240,3.084087,0.508594,0.664062,0.615625,0.508594,0.512500,0.467969,0.664062,0.512500,0.604688,0.615625,0.467969,0.604688
26,110_gc,0.547396,3.143307,0.528125,0.528125,0.457031,0.528125,0.704688,0.524219,0.528125,0.704688,0.542188,0.457031,0.524219,0.542188
27,,0.415234,3.680906,0.433594,0.412500,0.410937,0.433594,0.416406,0.400781,0.412500,0.416406,0.417188,0.410937,0.400781,0.417188
27,110_cov,0.563151,3.096493,0.532813,0.567187,0.550781,0.532813,0.537500,0.633594,0.567187,0.537500,0.557031,0.550781,0.633594,0.557031
27,110_ct,0.546875,3.141835,0.587500,0.492969,0.555469,0.587500,0.500781,0.662500,0.492969,0.500781,0.482031,0.555469,0.662500,0.482031
27,110_ga,0.555599,3.156172,0.496094,0.671094,0.596094,0.496094,0.492969,0.484375,0.671094,0.492969,0.592969,0.596094,0.484375,0.592969
27,110_gc,0.544271,3.152513,0.525781,0.538281,0.498437,0.525781,0.701562,0.497656,0.538281,0.701562,0.503906,0.498437,0.497656,0.503906
28,,0.401302,3.818324,0.409375,0.396875,0.436719,0.409375,0.382812,0.418750,0.396875,0.382812,0.363281,0.436719,0.418750,0.363281
28,110_cov,0.534375,3.199235,0.530469,0.543750,0.586719,0.530469,0.475781,0.558594,0.543750,0.475781,0.510938,0.586719,0.558594,0.510938
28,110_ct,0.520443,3.244783,0.509375,0.428125,0.515625,0.509375,0.475000,0.717187,0.428125,0.475000,0.477344,0.515625,0.717187,0.477344
28,110_ga,0.548307,3.141033,0.507031,0.694531,0.537500,0.507031,0.510938,0.497656,0.694531,0.510938,0.542188,0.537500,0.497656,0.542188
28,110_gc,0.552865,3.119150,0.582812,0.582031,0.481250,0.582812,0.660156,0.495313,0.582031,0.660156,0.515625,0.481250,0.495313,0.515625
29,,0.386458,3.866604,0.385156,0.411719,0.385938,0.385156,0.350000,0.364844,0.411719,0.350000,0.421094,0.385938,0.364844,0.421094
29,110_cov,0.545312,3.137566,0.428906,0.496875,0.496875,0.428906,0.595313,0.598437,0.496875,0.595313,0.655469,0.496875,0.598437,0.655469
29,110_ct,0.563542,3.107473,0.606250,0.500781,0.603906,0.606250,0.496875,0.679688,0.500781,0.496875,0.493750,0.603906,0.679688,0.493750
29,110_ga,0.495833,3.410053,0.431250,0.757031,0.474219,0.431250,0.429688,0.398438,0.757031,0.429688,0.484375,0.474219,0.398438,0.484375
29,110_gc,0.532031,3.209707,0.543750,0.532813,0.429688,0.543750,0.701562,0.481250,0.532813,0.701562,0.503125,0.429688,0.481250,0.503125
2,110_cov,0.546354,3.121382,0.573438,0.509375,0.596875,0.573438,0.465625,0.651563,0.509375,0.465625,0.481250,0.596875,0.651563,0.481250
2,110_ct,0.553255,3.183636,0.544531,0.471094,0.538281,0.544531,0.539844,0.682813,0.471094,0.539844,0.542969,0.538281,0.682813,0.542969
2,110_ga,0.511458,3.408565,0.417188,0.738281,0.542969,0.417188,0.416406,0.417188,0.738281,0.416406,0.536719,0.542969,0.417188,0.536719
2,110_gc,0.532682,3.194258,0.535937,0.514062,0.445312,0.535937,0.684375,0.501563,0.514062,0.684375,0.514844,0.445312,0.501563,0.514844
3,,0.392188,3.872884,0.379687,0.382812,0.377344,0.379687,0.371094,0.416406,0.382812,0.371094,0.425781,0.377344,0.416406,0.425781
30,,0.416797,3.739543,0.442187,0.480469,0.406250,0.442187,0.434375,0.388281,0.480469,0.434375,0.349219,0.406250,0.388281,0.349219
30,110_cov,0.542057,3.173247,0.510156,0.528906,0.571875,0.510156,0.500000,0.600781,0.528906,0.500000,0.540625,0.571875,0.600781,0.540625
30,110_ct,0.560547,3.071381,0.510938,0.472656,0.514062,0.510938,0.613281,0.657031,0.472656,0.613281,0.595313,0.514062,0.657031,0.595313
30,110_ga,0.508854,3.334090,0.437500,0.726562,0.499219,0.437500,0.424219,0.444531,0.726562,0.424219,0.521094,0.499219,0.444531,0.521094
30,110_gc,0.556641,3.115575,0.494531,0.516406,0.487500,0.494531,0.662500,0.579688,0.516406,0.662500,0.599219,0.487500,0.579688,0.599219
31,,0.413932,3.739601,0.436719,0.421875,0.378125,0.436719,0.431250,0.413281,0.421875,0.431250,0.402344,0.378125,0.413281,0.402344
31,110_cov,0.552995,3.100303,0.586719,0.479688,0.579688,0.586719,0.495313,0.648438,0.479688,0.495313,0.528125,0.579688,0.648438,0.528125
31,110_ct,0.552083,3.124298,0.577344,0.467969,0.576562,0.577344,0.502344,0.663281,0.467969,0.502344,0.525000,0.576562,0.663281,0.525000
31,110_ga,0.554167,3.136576,0.561719,0.691406,0.497656,0.561719,0.571875,0.492188,0.691406,0.571875,0.510156,0.497656,0.492188,0.510156
31,110_gc,0.548438,3.121738,0.527344,0.560937,0.485156,0.527344,0.624219,0.546875,0.560937,0.624219,0.546094,0.485156,0.546875,0.546094
32,,0.404167,3.785858,0.384375,0.424219,0.319531,0.384375,0.453125,0.439063,0.424219,0.453125,0.404687,0.319531,0.439063,0.404687
32,110_cov,0.531380,3.185163,0.520312,0.486719,0.507812,0.520312,0.496094,0.650781,0.486719,0.496094,0.526563,0.507812,0.650781,0.526563
32,110_ct,0.516146,3.320994,0.435156,0.417969,0.439844,0.435156,0.531250,0.740625,0.417969,0.531250,0.532031,0.439844,0.740625,0.532031
32,110_ga,0.553385,3.138087,0.559375,0.696875,0.492969,0.559375,0.568750,0.498437,0.696875,0.568750,0.503906,0.492969,0.498437,0.503906
32,110_gc,0.542839,3.171114,0.503125,0.490625,0.467969,0.503125,0.699219,0.553125,0.490625,0.699219,0.542969,0.467969,0.553125,0.542969
33,,0.392839,3.873348,0.365625,0.383594,0.365625,0.365625,0.463281,0.376563,0.383594,0.463281,0.402344,0.365625,0.376563,0.402344
33,110_cov,0.532552,3.175900,0.436719,0.468750,0.443750,0.436719,0.575781,0.690625,0.468750,0.575781,0.579688,0.443750,0.690625,0.579688
33,110_ct,0.527734,3.310266,0.469531,0.464844,0.482812,0.469531,0.575000,0.603906,0.464844,0.575000,0.570312,0.482812,0.603906,0.570312
33,110_ga,0.542708,3.139509,0.531250,0.671875,0.528125,0.531250,0.535937,0.450000,0.671875,0.535937,0.539062,0.528125,0.450000,0.539062
33,110_gc,0.520964,3.286425,0.536719,0.527344,0.403125,0.536719,0.700000,0.486719,0.527344,0.700000,0.471875,0.403125,0.486719,0.471875
34,,0.396094,3.799587,0.367969,0.403906,0.373437,0.367969,0.395312,0.419531,0.403906,0.395312,0.416406,0.373437,0.419531,0.416406
34,110_cov,0.526823,3.195456,0.429688,0.466406,0.446875,0.429688,0.562500,0.658594,0.466406,0.562500,0.596875,0.446875,0.658594,0.596875
34,110_ct,0.524219,3.243931,0.531250,0.454688,0.530469,0.531250,0.512500,0.626563,0.454688,0.512500,0.489844,0.530469,0.626563,0.489844
34,110_ga,0.513932,3.303096,0.477344,0.757812,0.462500,0.477344,0.483594,0.433594,0.757812,0.483594,0.468750,0.462500,0.433594,0.468750
34,110_gc,0.549870,3.147167,0.563281,0.575781,0.455469,0.563281,0.698438,0.500781,0.575781,0.698438,0.505469,0.455469,0.500781,0.505469
35,,0.392708,3.853744,0.360938,0.347656,0.434375,0.360938,0.414062,0.412500,0.347656,0.414062,0.386719,0.434375,0.412500,0.386719
35,110_cov,0.557422,3.106116,0.482031,0.563281,0.575000,0.482031,0.547656,0.554688,0.563281,0.547656,0.621875,0.575000,0.554688,0.621875
35,110_ct,0.540495,3.250324,0.488281,0.485938,0.493750,0.488281,0.539062,0.685156,0.485938,0.539062,0.550781,0.493750,0.685156,0.550781
35,110_ga,0.524219,3.277112,0.479688,0.692187,0.508594,0.479688,0.469531,0.497656,0.692187,0.469531,0.497656,0.508594,0.497656,0.497656
35,110_gc,0.559115,3.108204,0.560937,0.569531,0.467969,0.560937,0.668750,0.550000,0.569531,0.668750,0.537500,0.467969,0.550000,0.537500
36,,0.389062,3.877332,0.392188,0.371875,0.402344,0.392188,0.394531,0.383594,0.371875,0.394531,0.389844,0.402344,0.383594,0.389844
36,110_cov,0.538542,3.205156,0.539062,0.489062,0.547656,0.539062,0.491406,0.660937,0.489062,0.491406,0.503125,0.547656,0.660937,0.503125
36,110_ct,0.519792,3.290115,0.524219,0.398438,0.523438,0.524219,0.475000,0.721875,0.398438,0.475000,0.475781,0.523438,0.721875,0.475781
36,110_ga,0.548177,3.109720,0.508594,0.653906,0.572656,0.508594,0.522656,0.464063,0.653906,0.522656,0.567187,0.572656,0.464063,0.567187
36,110_gc,0.526302,3.193770,0.560937,0.577344,0.396875,0.560937,0.707031,0.464063,0.577344,0.707031,0.451562,0.396875,0.464063,0.451562
37,,0.407552,3.787889,0.379687,0.389844,0.449219,0.379687,0.410937,0.413281,0.389844,0.410937,0.402344,0.449219,0.413281,0.402344
37,110_cov,0.541016,3.202945,0.499219,0.485156,0.543750,0.499219,0.539844,0.635938,0.485156,0.539844,0.542188,0.543750,0.635938,0.542188
37,110_ct,0.545573,3.208135,0.569531,0.464844,0.582031,0.569531,0.474219,0.700781,0.464844,0.474219,0.482031,0.582031,0.700781,0.482031
37,110_ga,0.521354,3.272566,0.451562,0.709375,0.539062,0.451562,0.436719,0.466406,0.709375,0.436719,0.525000,0.539062,0.466406,0.525000
37,110_gc,0.560417,3.070252,0.505469,0.489844,0.524219,0.505469,0.647656,0.608594,0.489844,0.647656,0.586719,0.524219,0.608594,0.586719
38,,0.387630,3.825275,0.371094,0.370313,0.372656,0.371094,0.426562,0.389062,0.370313,0.426562,0.396094,0.372656,0.389062,0.396094
38,110_cov,0.544661,3.141545,0.489062,0.498437,0.512500,0.489062,0.543750,0.649219,0.498437,0.543750,0.575000,0.512500,0.649219,0.575000
38,110_ct,0.550911,3.128912,0.503125,0.467969,0.504687,0.503125,0.592187,0.667969,0.467969,0.592187,0.569531,0.504687,0.667969,0.569531
38,110_ga,0.550391,3.100136,0.540625,0.668750,0.510938,0.540625,0.553125,0.503906,0.668750,0.553125,0.525000,0.510938,0.503906,0.525000
38,110_gc,0.527083,3.186996,0.528125,0.539844,0.414844,0.528125,0.726562,0.481250,0.539844,0.726562,0.471875,0.414844,0.481250,0.471875
39,,0.404427,3.757176,0.418750,0.367188,0.401563,0.418750,0.440625,0.441406,0.367188,0.440625,0.357031,0.401563,0.441406,0.357031
39,110_cov,0.534505,3.177376,0.532031,0.495313,0.521094,0.532031,0.523438,0.639062,0.495313,0.523438,0.496094,0.521094,0.639062,0.496094
39,110_ct,0.519661,3.230442,0.492188,0.421875,0.489844,0.492188,0.496094,0.725781,0.421875,0.496094,0.492188,0.489844,0.725781,0.492188
39,110_ga,0.529687,3.207941,0.519531,0.736719,0.463281,0.519531,0.525000,0.459375,0.736719,0.525000,0.474219,0.463281,0.459375,0.474219
39,110_gc,0.546484,3.155870,0.515625,0.514062,0.493750,0.515625,0.690625,0.537500,0.514062,0.690625,0.527344,0.493750,0.537500,0.527344
3,110_cov,0.531120,3.326421,0.503125,0.461719,0.506250,0.503125,0.503125,0.702344,0.461719,0.503125,0.510156,0.506250,0.702344,0.510156
3,110_ct,0.506510,3.320619,0.446094,0.438281,0.436719,0.446094,0.488281,0.750000,0.438281,0.488281,0.479688,0.436719,0.750000,0.479688
3,110_ga,0.552865,3.128959,0.483594,0.668750,0.604688,0.483594,0.474219,0.489062,0.668750,0.474219,0.596875,0.604688,0.489062,0.596875
3,110_gc,0.536849,3.190656,0.525000,0.522656,0.442187,0.525000,0.668750,0.546094,0.522656,0.668750,0.516406,0.442187,0.546094,0.516406
4,,0.401693,3.793828,0.440625,0.425781,0.426562,0.440625,0.359375,0.430469,0.425781,0.359375,0.327344,0.426562,0.430469,0.327344
40,,0.390104,3.851673,0.398438,0.368750,0.460938,0.398438,0.324219,0.414062,0.368750,0.324219,0.374219,0.460938,0.414062,0.374219
40,110_cov,0.528776,3.282665,0.474219,0.485938,0.470313,0.474219,0.534375,0.678125,0.485938,0.534375,0.529687,0.470313,0.678125,0.529687
40,110_ct,0.515625,3.228517,0.457031,0.400000,0.460938,0.457031,0.525000,0.700000,0.400000,0.525000,0.550781,0.460938,0.700000,0.550781
40,110_ga,0.507161,3.409501,0.450781,0.730469,0.510938,0.450781,0.450781,0.398438,0.730469,0.450781,0.501563,0.510938,0.398438,0.501563
40,110_gc,0.546354,3.192385,0.547656,0.550000,0.492188,0.547656,0.684375,0.498437,0.550000,0.684375,0.505469,0.492188,0.498437,0.505469
41,,0.409635,3.748600,0.366406,0.446094,0.446875,0.366406,0.410156,0.366406,0.446094,0.410156,0.421875,0.446875,0.366406,0.421875
41,110_cov,0.561328,3.075414,0.565625,0.505469,0.565625,0.565625,0.536719,0.595313,0.505469,0.536719,0.599219,0.565625,0.595313,0.599219
41,110_ct,0.506120,3.401152,0.474219,0.450781,0.463281,0.474219,0.464844,0.725781,0.450781,0.464844,0.457812,0.463281,0.725781,0.457812
41,110_ga,0.540104,3.173718,0.510938,0.686719,0.550781,0.510938,0.504687,0.423438,0.686719,0.504687,0.564063,0.550781,0.423438,0.564063
41,110_gc,0.519401,3.304252,0.470313,0.453125,0.472656,0.470313,0.719531,0.512500,0.453125,0.719531,0.488281,0.472656,0.512500,0.488281
42,,0.420833,3.715937,0.397656,0.446875,0.374219,0.397656,0.464063,0.411719,0.446875,0.464063,0.430469,0.374219,0.411719,0.430469
